"Artist","Option 1","Option 2","Option 3","Option 4","Option 5"
"bob.dylan","eric.clapton","the.rolling.stones","david.bowie","jimi.hendrix","the.beatles"
"bob.marley","red.hot.chili.peppers","gentleman","cypress.hill","slipknot","nirvana"
"bob.marley...the.wailers","bob.marley","elvis.presley","eric.clapton","jay.z","justice"
"breaking.benjamin","disturbed","three.days.grace","lostprophets","papa.roach","billy.talent"
"bright.eyes","stars","the.notwist","modest.mouse","regina.spektor","arcade.fire"
"bring.me.the.horizon","as.i.lay.dying","parkway.drive","underoath","atreyu","trivium"
"britney.spears","the.pussycat.dolls","rihanna","christina.aguilera","lady.gaga","beyonce"
"bruce.springsteen","u2","robbie.williams","eric.clapton","snow.patrol","dire.straits"
"bullet.for.my.valentine","killswitch.engage","disturbed","slipknot","billy.talent","system.of.a.down"
"caliban","heaven.shall.burn","killswitch.engage","all.that.remains","trivium","as.i.lay.dying"
"cascada","groove.coverage","scooter","lady.gaga","katy.perry","kelly.clarkson"
"cat.power","sufjan.stevens","stars","the.notwist","arcade.fire","mogwai"
"children.of.bodom","in.flames","equilibrium","arch.enemy","dimmu.borgir","amon.amarth"
"chimaira","hatebreed","all.that.remains","heaven.shall.burn","caliban","as.i.lay.dying"
"christina.aguilera","katy.perry","the.pussycat.dolls","rihanna","kelly.clarkson","pink"
"clueso","the.kooks","jack.johnson","oasis","deichkind","mando.diao"
"cocorosie","hot.chip","beirut","feist","the.notwist","jose.gonzalez"
"coldplay","jack.johnson","red.hot.chili.peppers","muse","bloc.party","the.kooks"
"crystal.castles","mgmt","digitalism","hot.chip","editors","the.smiths"
"cypress.hill","bob.marley","eminem","rage.against.the.machine","gentleman","manu.chao"
"daft.punk","justice","air","the.chemical.brothers","gorillaz","thievery.corporation"
"damien.rice","feist","kings.of.convenience","radiohead","jose.gonzalez","sufjan.stevens"
"dark.tranquillity","amon.amarth","eluveitie","soilwork","arch.enemy","die.apokalyptischen.reiter"
"david.bowie","bob.dylan","nouvelle.vague","elliott.smith","the.beatles","feist"
"david.guetta","leona.lewis","justin.timberlake","timbaland","rihanna","nelly.furtado"
"death.cab.for.cutie","bloc.party","the.kooks","modest.mouse","sufjan.stevens","the.shins"
"deep.purple","led.zeppelin","black.sabbath","manowar","pink.floyd","guns.n.roses"
"deftones","a.perfect.circle","godsmack","dredg","staind","incubus"
"deichkind","mando.diao","justice","clueso","seeed","daft.punk"
"depeche.mode","u2","pink.floyd","genesis","madonna","queen"
"dido","katie.melua","madonna","robbie.williams","norah.jones","jason.mraz"
"die.apokalyptischen.reiter","equilibrium","ensiferum","korpiklaani","amon.amarth","in.flames"
"die.toten.hosen","red.hot.chili.peppers","the.offspring","rammstein","farin.urlaub","green.day"
"digitalism","crystal.castles","justice","mgmt","goldfrapp","hot.chip"
"dimmu.borgir","children.of.bodom","finntroll","amon.amarth","equilibrium","slayer"
"dire.straits","howard.shore","genesis","katie.melua","eric.clapton","amy.macdonald"
"disturbed","slipknot","papa.roach","system.of.a.down","in.flames","killswitch.engage"
"dream.theater","porcupine.tree","iron.maiden","tool","metallica","depeche.mode"
"dredg","a.perfect.circle","deftones","tool","godsmack","funeral.for.a.friend"
"dropkick.murphys","nofx","flogging.molly","misfits","the.offspring","green.day"
"duffy","the.ting.tings","leona.lewis","beyonce","madonna","rihanna"
"editors","interpol","bloc.party","crystal.castles","mgmt","kings.of.leon"
"eels","stars","muse","norah.jones","bright.eyes","the.notwist"
"elliott.smith","sufjan.stevens","the.shins","belle.and.sebastian","modest.mouse","nada.surf"
"eluveitie","finntroll","equilibrium","dark.tranquillity","ensiferum","korpiklaani"
"elvis.presley","abba","robbie.williams","eric.clapton","bob.marley...the.wailers","bob.dylan"
"eminem","justin.timberlake","limp.bizkit","jay.z","seeed","the.prodigy"
"ensiferum","equilibrium","finntroll","die.apokalyptischen.reiter","korpiklaani","iron.maiden"
"enter.shikari","underoath","silverstein","atreyu","funeral.for.a.friend","alexisonfire"
"equilibrium","ensiferum","die.apokalyptischen.reiter","eluveitie","finntroll","children.of.bodom"
"eric.clapton","bob.dylan","the.rolling.stones","elvis.presley","bruce.springsteen","the.doors"
"evanescence","him","linkin.park","bullet.for.my.valentine","nightwish","rammstein"
"faithless","atb","mika","scooter","moby","the.chemical.brothers"
"fall.out.boy","panic.at.the.disco","billy.talent","my.chemical.romance","sum.41","green.day"
"farin.urlaub","the.offspring","system.of.a.down","beatsteaks","die.toten.hosen","red.hot.chili.peppers"
"feist","kings.of.convenience","damien.rice","cocorosie","the.shins","bloc.party"
"finntroll","ensiferum","eluveitie","equilibrium","korpiklaani","blind.guardian"
"flogging.molly","dropkick.murphys","bad.religion","in.extremo","korpiklaani","ramones"
"flyleaf","paramore","my.chemical.romance","hoobastank","blink.182","simple.plan"
"foo.fighters","beatsteaks","incubus","nirvana","linkin.park","billy.talent"
"frank.sinatra","norah.jones","nouvelle.vague","the.doors","abba","dido"
"franz.ferdinand","arctic.monkeys","mando.diao","the.fratellis","the.libertines","babyshambles"
"funeral.for.a.friend","silverstein","atreyu","alexisonfire","enter.shikari","the.used"
"genesis","pink.floyd","queen","depeche.mode","dire.straits","u2"
"gentleman","seeed","bob.marley","deichkind","cypress.hill","hatebreed"
"godsmack","disturbed","staind","deftones","stone.sour","seether"
"goldfrapp","portishead","nouvelle.vague","morcheeba","digitalism","the.chemical.brothers"
"good.charlotte","simple.plan","green.day","sum.41","blink.182","my.chemical.romance"
"gorillaz","seeed","daft.punk","the.prodigy","bloodhound.gang","digitalism"
"green.day","good.charlotte","the.offspring","fall.out.boy","red.hot.chili.peppers","die.toten.hosen"
"groove.coverage","cascada","scooter","lady.gaga","atb","katy.perry"
"guano.apes","limp.bizkit","hoobastank","placebo","disturbed","nirvana"
"guns.n.roses","deep.purple","queen","him","judas.priest","metallica"
"hammerfall","blind.guardian","equilibrium","ensiferum","ac.dc","slayer"
"hans.zimmer","howard.shore","flogging.molly","queen","seether","disturbed"
"hatebreed","chimaira","caliban","killswitch.engage","as.i.lay.dying","bring.me.the.horizon"
"heaven.shall.burn","all.that.remains","as.i.lay.dying","caliban","chimaira","parkway.drive"
"him","oomph.","evanescence","marilyn.manson","nightwish","schandmaul"
"hoobastank","lostprophets","atb","flyleaf","sum.41","guano.apes"
"hot.chip","mgmt","the.national","crystal.castles","cocorosie","beirut"
"howard.shore","hans.zimmer","dire.straits","queen","katie.melua","frank.sinatra"
"in.extremo","subway.to.sally","schandmaul","rammstein","nightwish","apocalyptica"
"in.flames","children.of.bodom","slipknot","disturbed","amon.amarth","opeth"
"incubus","foo.fighters","muse","system.of.a.down","billy.talent","bloc.party"
"interpol","nada.surf","arcade.fire","modest.mouse","editors","bloc.party"
"iron.maiden","ensiferum","judas.priest","blind.guardian","equilibrium","metallica"
"jack.johnson","coldplay","red.hot.chili.peppers","the.kooks","amy.winehouse","arctic.monkeys"
"james.blunt","dido","michael.jackson","leona.lewis","panic.at.the.disco","mika"
"james.morrison","jason.mraz","maria.mena","amy.macdonald","katie.melua","the.fray"
"jamiroquai","air","morcheeba","thievery.corporation","blur","goldfrapp"
"jason.mraz","james.morrison","mika","dido","kelly.clarkson","amy.macdonald"
"jay.z","kanye.west","timbaland","eminem","alicia.keys","the.streets"
"jimi.hendrix","the.doors","led.zeppelin","the.rolling.stones","pink.floyd","bob.dylan"
"jimmy.eat.world","fall.out.boy","blink.182","bloc.party","panic.at.the.disco","my.chemical.romance"
"johnny.cash","pearl.jam","the.rolling.stones","tom.waits","the.beatles","metallica"
"jose.gonzalez","sufjan.stevens","the.notwist","cocorosie","feist","damien.rice"
"joy.division","the.cure","the.smiths","babyshambles","interpol","david.bowie"
"judas.priest","kreator","iron.maiden","motorhead","deep.purple","black.sabbath"
"justice","digitalism","daft.punk","mgmt","deichkind","bloc.party"
"justin.timberlake","timbaland","rihanna","nelly.furtado","david.guetta","beyonce"
"kaiser.chiefs","the.hives","the.killers","the.wombats","franz.ferdinand","bloc.party"
"kanye.west","timbaland","jay.z","justin.timberlake","david.guetta","rihanna"
"kate.nash","the.wombats","lily.allen","the.kooks","amy.macdonald","amy.winehouse"
"katie.melua","dido","norah.jones","james.morrison","dire.straits","u2"
"katy.perry","the.pussycat.dolls","christina.aguilera","lady.gaga","leona.lewis","rihanna"
"keane","travis","the.fray","jason.mraz","amy.macdonald","the.kooks"
"kelly.clarkson","leona.lewis","christina.aguilera","pink","beyonce","lady.gaga"
"killswitch.engage","as.i.lay.dying","caliban","machine.head","atreyu","bullet.for.my.valentine"
"kings.of.convenience","feist","damien.rice","mgmt","the.decemberists","belle.and.sebastian"
"kings.of.leon","arctic.monkeys","the.strokes","razorlight","the.subways","bloc.party"
"korpiklaani","ensiferum","die.apokalyptischen.reiter","finntroll","equilibrium","schandmaul"
"kreator","judas.priest","slayer","arch.enemy","ensiferum","amon.amarth"
"lacuna.coil","dark.tranquillity","nightwish","in.extremo","subway.to.sally","ensiferum"
"lady.gaga","katy.perry","leona.lewis","kelly.clarkson","britney.spears","beyonce"
"led.zeppelin","deep.purple","jimi.hendrix","pink.floyd","the.doors","aerosmith"
"lenny.kravitz","timbaland","alicia.keys","justin.timberlake","aerosmith","james.blunt"
"leona.lewis","kelly.clarkson","beyonce","lady.gaga","katy.perry","christina.aguilera"
"lily.allen","amy.macdonald","kate.nash","the.kooks","maria.mena","amy.winehouse"
"limp.bizkit","linkin.park","papa.roach","rammstein","bullet.for.my.valentine","disturbed"
"linkin.park","billy.talent","limp.bizkit","evanescence","rammstein","papa.roach"
"lostprophets","seether","breaking.benjamin","three.days.grace","sum.41","audioslave"
"machine.head","killswitch.engage","trivium","caliban","as.i.lay.dying","all.that.remains"
"madonna","robbie.williams","christina.aguilera","dido","nelly.furtado","rihanna"
"mando.diao","arctic.monkeys","franz.ferdinand","the.killers","the.hives","the.kooks"
"manowar","iron.maiden","deep.purple","apocalyptica","blind.guardian","korpiklaani"
"manu.chao","seeed","farin.urlaub","queens.of.the.stone.age","the.clash","feist"
"maria.mena","beyonce","amy.macdonald","james.morrison","alicia.keys","rihanna"
"marilyn.manson","rammstein","in.extremo","subway.to.sally","slipknot","him"
"massive.attack","thievery.corporation","air","portishead","daft.punk","morcheeba"
"metallica","red.hot.chili.peppers","rammstein","in.flames","the.offspring","iron.maiden"
"mgmt","crystal.castles","hot.chip","digitalism","bloc.party","justice"
"michael.jackson","queen","james.blunt","robbie.williams","black.eyed.peas","alicia.keys"
"mika","jason.mraz","madonna","dido","kelly.clarkson","abba"
"millencolin","nofx","anti.flag","afi","bad.religion","rise.against"
"misfits","dropkick.murphys","anti.flag","nofx","afi","bad.religion"
"moby","david.guetta","morcheeba","goldfrapp","nelly.furtado","the.prodigy"
"modest.mouse","the.shins","bright.eyes","interpol","sufjan.stevens","death.cab.for.cutie"
"mogwai","boards.of.canada","belle.and.sebastian","cat.power","the.smashing.pumpkins","nine.inch.nails"
"morcheeba","thievery.corporation","goldfrapp","moby","jamiroquai","air"
"motorhead","kreator","judas.priest","ac.dc","iron.maiden","deep.purple"
"muse","arctic.monkeys","queens.of.the.stone.age","incubus","the.killers","placebo"
"my.chemical.romance","the.used","fall.out.boy","simple.plan","billy.talent","bullet.for.my.valentine"
"nada.surf","interpol","elliott.smith","modest.mouse","death.cab.for.cutie","bloc.party"
"nelly.furtado","rihanna","justin.timberlake","christina.aguilera","pink","kelly.clarkson"
"nickelback","fall.out.boy","farin.urlaub","linkin.park","stone.sour","peter.fox"
"nightwish","in.extremo","rammstein","evanescence","schandmaul","subway.to.sally"
"nine.inch.nails","the.smashing.pumpkins","a.perfect.circle","marilyn.manson","deftones","dredg"
"nirvana","red.hot.chili.peppers","system.of.a.down","the.offspring","the.white.stripes","die.toten.hosen"
"nofx","millencolin","bad.religion","anti.flag","dropkick.murphys","rise.against"
"norah.jones","amy.winehouse","katie.melua","dido","jack.johnson","alicia.keys"
"nouvelle.vague","bjork","goldfrapp","air","david.bowie","dido"
"oasis","clueso","nirvana","red.hot.chili.peppers","the.beatles","james.blunt"
"oomph.","him","marilyn.manson","evanescence","rammstein","in.extremo"
"opeth","in.flames","dark.tranquillity","machine.head","ensiferum","children.of.bodom"
"panic.at.the.disco","fall.out.boy","simple.plan","good.charlotte","my.chemical.romance","green.day"
"papa.roach","disturbed","the.offspring","three.days.grace","billy.talent","limp.bizkit"
"paramore","flyleaf","blink.182","my.chemical.romance","mando.diao","breaking.benjamin"
"parkway.drive","all.that.remains","bring.me.the.horizon","as.i.lay.dying","heaven.shall.burn","trivium"
"pearl.jam","audioslave","johnny.cash","rage.against.the.machine","nirvana","queens.of.the.stone.age"
"peter.fox","seeed","farin.urlaub","red.hot.chili.peppers","the.offspring","jack.johnson"
"pink","christina.aguilera","kelly.clarkson","nelly.furtado","avril.lavigne","rihanna"
"pink.floyd","led.zeppelin","genesis","depeche.mode","porcupine.tree","the.doors"
"placebo","system.of.a.down","muse","nirvana","arctic.monkeys","farin.urlaub"
"porcupine.tree","pink.floyd","a.perfect.circle","opeth","regina.spektor","dream.theater"
"portishead","goldfrapp","radiohead","massive.attack","thievery.corporation","air"
"queen","genesis","michael.jackson","abba","depeche.mode","guns.n.roses"
"queens.of.the.stone.age","the.white.stripes","muse","the.strokes","nirvana","the.doors"
"r.e.m.","u2","travis","the.cure","scooter","nirvana"
"radiohead","bloc.party","damien.rice","death.cab.for.cutie","beck","the.white.stripes"
"rage.against.the.machine","nirvana","audioslave","the.offspring","system.of.a.down","limp.bizkit"
"rammstein","system.of.a.down","subway.to.sally","in.extremo","nightwish","metallica"
"ramones","the.clash","anti.flag","the.white.stripes","the.hives","flogging.molly"
"razorlight","the.fratellis","franz.ferdinand","mando.diao","the.kooks","kings.of.leon"
"red.hot.chili.peppers","the.offspring","nirvana","die.toten.hosen","system.of.a.down","metallica"
"regina.spektor","bright.eyes","stars","sufjan.stevens","damien.rice","belle.and.sebastian"
"rihanna","nelly.furtado","christina.aguilera","the.pussycat.dolls","timbaland","justin.timberlake"
"rise.against","billy.talent","anti.flag","atreyu","bullet.for.my.valentine","linkin.park"
"rob.zombie","soilwork","slipknot","eluveitie","judas.priest","stone.sour"
"robbie.williams","madonna","u2","dido","elvis.presley","bruce.springsteen"
"schandmaul","subway.to.sally","in.extremo","korpiklaani","nightwish","blind.guardian"
"scooter","atb","cascada","groove.coverage","bloodhound.gang","rihanna"
"seeed","peter.fox","gentleman","gorillaz","red.hot.chili.peppers","the.offspring"
"seether","staind","lostprophets","audioslave","stone.sour","the.used"
"serj.tankian","bloodhound.gang","lacuna.coil","apocalyptica","subway.to.sally","the.used"
"silverstein","atreyu","funeral.for.a.friend","underoath","simple.plan","alexisonfire"
"simple.plan","good.charlotte","avril.lavigne","sum.41","silverstein","green.day"
"slayer","kreator","arch.enemy","amon.amarth","in.flames","dimmu.borgir"
"slipknot","disturbed","stone.sour","in.flames","system.of.a.down","bullet.for.my.valentine"
"snow.patrol","the.fray","muse","coldplay","razorlight","bloc.party"
"soilwork","sonic.syndicate","heaven.shall.burn","dark.tranquillity","as.i.lay.dying","trivium"
"sonata.arctica","nightwish","bullet.for.my.valentine","apocalyptica","ensiferum","blind.guardian"
"sonic.syndicate","killswitch.engage","soilwork","dark.tranquillity","machine.head","as.i.lay.dying"
"staind","seether","godsmack","stone.sour","deftones","a.perfect.circle"
"stars","the.shins","bright.eyes","arcade.fire","regina.spektor","cat.power"
"stone.sour","slipknot","disturbed","papa.roach","godsmack","seether"
"subway.to.sally","in.extremo","schandmaul","rammstein","finntroll","ensiferum"
"sufjan.stevens","elliott.smith","the.notwist","belle.and.sebastian","beck","jose.gonzalez"
"sum.41","blink.182","the.offspring","simple.plan","billy.talent","fall.out.boy"
"system.of.a.down","rammstein","the.offspring","disturbed","farin.urlaub","slipknot"
"tegan.and.sara","the.fray","belle.and.sebastian","stars","kate.nash","maria.mena"
"tenacious.d","disturbed","audioslave","muse","metallica","godsmack"
"the.beatles","the.doors","red.hot.chili.peppers","the.white.stripes","mando.diao","ac.dc"
"the.chemical.brothers","daft.punk","goldfrapp","the.prodigy","beck","depeche.mode"
"the.clash","ramones","motorhead","the.rolling.stones","dropkick.murphys","the.smiths"
"the.cure","joy.division","the.smiths","u2","radiohead","elliott.smith"
"the.decemberists","the.shins","beirut","belle.and.sebastian","arcade.fire","modest.mouse"
"the.doors","jimi.hendrix","the.beatles","led.zeppelin","queens.of.the.stone.age","pink.floyd"
"the.fratellis","franz.ferdinand","the.kooks","razorlight","arctic.monkeys","the.hives"
"the.fray","tegan.and.sara","snow.patrol","keane","james.morrison","fall.out.boy"
"the.hives","the.white.stripes","arctic.monkeys","mando.diao","the.killers","kaiser.chiefs"
"the.killers","bloc.party","arctic.monkeys","mando.diao","the.kooks","muse"
"the.kooks","arctic.monkeys","bloc.party","the.fratellis","the.killers","death.cab.for.cutie"
"the.libertines","babyshambles","adam.green","franz.ferdinand","interpol","the.strokes"
"the.national","arcade.fire","hot.chip","beirut","belle.and.sebastian","sufjan.stevens"
"the.notwist","sufjan.stevens","bright.eyes","beck","jose.gonzalez","cocorosie"
"the.offspring","red.hot.chili.peppers","sum.41","system.of.a.down","blink.182","billy.talent"
"the.postal.service","the.strokes","hot.chip","jimmy.eat.world","bloc.party","feist"
"the.prodigy","linkin.park","limp.bizkit","goldfrapp","the.chemical.brothers","gorillaz"
"the.pussycat.dolls","katy.perry","christina.aguilera","britney.spears","rihanna","beyonce"
"the.rolling.stones","bob.dylan","eric.clapton","jimi.hendrix","the.doors","the.beatles"
"the.shins","arcade.fire","the.decemberists","belle.and.sebastian","modest.mouse","beirut"
"the.smashing.pumpkins","nine.inch.nails","a.perfect.circle","radiohead","placebo","mogwai"
"the.smiths","arcade.fire","sufjan.stevens","the.cure","the.national","crystal.castles"
"the.streets","the.notwist","arctic.monkeys","jay.z","mgmt","beirut"
"the.strokes","adam.green","kings.of.leon","queens.of.the.stone.age","the.kooks","arctic.monkeys"
"the.subways","mando.diao","the.kooks","kings.of.leon","bloc.party","arctic.monkeys"
"the.ting.tings","duffy","kaiser.chiefs","the.wombats","kate.nash","mgmt"
"the.used","my.chemical.romance","silverstein","atreyu","seether","funeral.for.a.friend"
"the.white.stripes","arctic.monkeys","the.hives","nirvana","queens.of.the.stone.age","mando.diao"
"the.wombats","kate.nash","kaiser.chiefs","the.ting.tings","the.subways","the.kooks"
"thievery.corporation","massive.attack","morcheeba","goldfrapp","boards.of.canada","daft.punk"
"three.days.grace","papa.roach","breaking.benjamin","lostprophets","linkin.park","atreyu"
"timbaland","justin.timberlake","kanye.west","rihanna","jay.z","david.guetta"
"tom.waits","elliott.smith","the.beatles","nouvelle.vague","johnny.cash","david.bowie"
"tool","a.perfect.circle","dredg","incubus","nine.inch.nails","seether"
"tori.amos","alanis.morissette","the.smashing.pumpkins","placebo","depeche.mode","pink.floyd"
"travis","keane","beastie.boys","r.e.m.","oasis","the.fratellis"
"trivium","all.that.remains","caliban","as.i.lay.dying","machine.head","atreyu"
"u2","robbie.williams","depeche.mode","r.e.m.","aerosmith","bruce.springsteen"
"underoath","atreyu","alexisonfire","silverstein","enter.shikari","bring.me.the.horizon"
"volbeat","black.sabbath","opeth","kreator","stone.sour","in.flames"
"yann.tiersen","sufjan.stevens","cat.power","eric.clapton","radiohead","elliott.smith"
